Upstream commit,Date,Summary,Paths touched,Decision,Notes
508a3d147f2a6e57ec33cc661b920f5b24f338a7,2024-01-31,(Jovial) STATUS constructor,src/backend/unparser/unparser.C src/frontend/Experimental_Jovial_ROSE_Connection/ATermToSageJovialTraversal.C,drop,Jovial support dropped in REX; removed HEADER_JOVIAL_PRESET_POSITION_EXP block from ROSETTA grammar
f264fb618701acc843fc96e75faf0886c7f37295,2024-01-31,(Release) Incremented version to 0.11.145.27,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop,Version bump touching EDG/configure dropped
2027eabc46ec2b09b9848c3e2e09273b978b9cca,2024-02-05,(Engineering) Fixed compiler warnings,src/AstNodes/Expression src/Rose/AST/Utils.C src/Rose/BinaryAnalysis src/Rose/Progress.h src/Rose/Sarif src/Rosebud src/frontend/BinaryFormats src/frontend/Disassemblers/SgAsmFunction.C src/frontend/SageIII/dwarfSupport.C src/midend/BinaryAnalysis/libraryIdentification/FunctionInfo.h src/util src/util/ROSE_UNUSED.h tools/BinaryAnalysis,pick-partial,Unused-parameter cleanups retained; Sarif portions dropped; skipped binary analysis/absent files
755a56e6b5651819968c7e82581625528590d02e,2024-02-05,(Engineering) Cleanup of compiler warning messages,src/ROSETTA/Grammar/Node.code src/ROSETTA/src/grammar.C,pick-partial,snprintf in ROSETTA grammar.C; Node.code change not present in REX
45b6f0c75cce2ca299b99c9e9556203071d25a95,2024-02-05,(ByteCode JVM) Implement MethodParameters attribute,src/AstNodes/BinaryAnalysis src/ROSETTA/Grammar/Node.code src/ROSETTA/astNodeList src/ROSETTA/src/binaryInstruction.C src/frontend/BinaryFormats/JvmAttribute.C src/generated/BinaryAnalysis,drop,Binary analysis JVM support dropped
81e15202fe1c59ab585d0e79ab64919d25e3ff73,2024-02-05,(ByteCode JVM) Implement EnclosingMethod attribute,src/AstNodes/BinaryAnalysis/SgAsmJvmEnclosingMethod.h src/ROSETTA/src/binaryInstruction.C src/frontend/BinaryFormats/JvmAttribute.C src/frontend/BinaryFormats/JvmMethod.C,drop,Binary analysis JVM support dropped
698146c1c5a2df8865137cad5ee2e83591276cba,2024-02-05,(Ada) fix warning messages,src/backend/unparser/AdaCodeGeneration src/backend/unparser/MatlabCodeGeneration/MatlabUnparserBottomUpTraversal.C src/backend/unparser/nameQualificationSupport.C src/frontend/SageIII/sageInterface/sageFunctors.h src/frontend/SageIII/sageInterface/sageInterface.C src/frontend/SageIII/sageInterface/sageInterfaceAda.C src/midend/programAnalysis/CallGraphAnalysis/CallGraph.C,drop,Ada support dropped in REX
510b32f8b3cafaf7928301f179cbaf2593bbee63,2024-02-05,(sageInterface) balancing the count if #if and #endif when moving them,src/frontend/SageIII/sageInterface/sageInterface.C,pick,Balance #if/#endif counts in preprocessing moves
a9e751f15964b39c4d85c7b86ea0de0f7de43f0b,2024-02-05,(SageInterface::moveCommentsToNewStatement) fix bug when src is in front of dest stmt; revert pcounter-based manual patch of #endif,src/frontend/SageIII/sageInterface/sageInterface.C src/frontend/SageIII/sageInterface/sageInterface.h,pick,Fix comment move ordering; add printAST(file) helper
fac7d0afa7f99d3ba8789952f087e93976f17f89,2024-02-05,(policy for tabs) removed accidentally introduced tabs,src/frontend/SageIII/sageInterface/sageInterface.C,pick,Remove tabs in sageInterface.C block
df2e28fd25d396bcfceefcefe1fa4a4deb8539aa,2024-02-05,(autoconf) Corrected rpath to openjdk server lib,config/support-java.m4,drop,Autotools config inventory only
c489b4bfb2345d8f9b4d76ba2fde46ae4dafeadf,2024-02-05,(AstUtil) Add support for AST diff from different versions of the same file.,src/3rdPartyLibraries/POET src/3rdPartyLibraries/POET/AutoTuningInterface.cpp src/3rdPartyLibraries/POET/Makefile.am src/3rdPartyLibraries/POET/eval_ext.cpp src/midend/astUtil/AstUtilInterface.C src/midend/astUtil/AstUtilInterface.h src/midend/astUtil/astInterface/AstInterface.C src/midend/astUtil/astInterface/AstInterface.h src/midend/programTransformation/loopProcessing/driver/AutoTuningInterface.C src/midend/programTransformation/loopProcessing/driver/AutoTuningInterface.h,pick-partial,AstUtil AstIdentical + GetVariableSignature; skipped missing POET/loopProcessing files; Reverted changes in src/midend/astUtil/astInterface/AstInterface.C; src/midend/astUtil/astInterface/AstInterface.h to remove drop-list reintroductions.
76187cac22e3e71f286845f6e4a1591b2613f5d3,2024-02-05,(Release) Incremented version to 0.11.145.28,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop,Version bump touching EDG/configure dropped
f89127da592f82025706bbb4bf62e8e5d85c5d94,2024-02-10,(Engineering) Moved AddressInterval and AddressIntervalSet,src/AstNodes/BinaryAnalysis src/Makefile.am src/ROSETTA/Grammar/Node.code src/ROSETTA/src/binaryInstruction.C src/ROSETTA/src/buildStorageClasses.C src/ROSETTA/src/jovialNodes.C src/Rose/BinaryAnalysis src/Rose/BinaryAnalysis.h src/Rose/Makefile.am src/Rose/Sarif/Location.C src/Rose/Sarif/Location.h src/frontend/BinaryFormats src/frontend/Disassemblers/SgAsmFunction.C src/frontend/SageIII/astFileIO/StorageClassMemoryManagement.C src/frontend/SageIII/astFileIO/StorageClassMemoryManagement.h src/frontend/SageIII/rtiHelpers.h src/generated/BinaryAnalysis tools/BinaryAnalysis,drop,Binary analysis namespace move dropped
cf457514f41df8aadeecf4367e578491f0ee2566,2024-02-10,(Engineering) Created Rose::BinaryAnalysis::RelativeVirtualAddress,src/Makefile.am src/ROSETTA/Grammar/Node.code src/Rose/BinaryAnalysis src/Rose/BinaryAnalysis.h src/Rose/Makefile.am src/Rose/Sarif/Location.C src/Rose/Sarif/Location.h src/frontend/BinaryFormats src/frontend/SageIII/astFileIO/StorageClassMemoryManagement.C src/frontend/SageIII/astFileIO/StorageClassMemoryManagement.h,drop,Binary analysis RVA refactor dropped
4b479e20075de9682412621e8c1ea14d5e8267f0,2024-02-10,(Engineering) Use Rose::BinaryAnalysis::RelativeVirtualAddress,src/AstNodes/BinaryAnalysis src/Rose/BinaryAnalysis/ByteOrder.C src/Rose/BinaryAnalysis/Concolic/M68kSystem/Architecture.C src/Rose/BinaryAnalysis/Partitioner2 src/frontend/BinaryFormats,drop,Binary analysis RVA refactor dropped
49fd3514926258f56f54c16f944a12a29cd6f359,2024-02-10,(Engineering) Regenerated AST node source code,src/ROSETTA/src/binaryInstruction.C src/ROSETTA/src/buildStorageClasses.C src/generated/BinaryAnalysis,drop,Binary analysis regen dropped
d40df7f2da54d2a0c88082a10c2e9b88d1cb2df5,2024-02-10,(Engineering) Avoid using RelativeVirtualAddress deprecated functions,src/Rose/BinaryAnalysis/BinaryLoaderElf.C src/Rose/BinaryAnalysis/BinaryLoaderPe.C src/Rose/BinaryAnalysis/ByteOrder src/Rose/BinaryAnalysis/Concolic/M68kSystem/Architecture.C src/Rose/BinaryAnalysis/Partitioner2 src/Rose/BinaryAnalysis/RelativeVirtualAddress.C src/frontend/BinaryFormats src/frontend/Disassemblers/SgAsmIntegerValueExpression.C,drop,Binary analysis RVA refactor dropped
7477b04306bbeb14af550f2fa8b608c89c4f4363,2024-02-10,(Engineering) Added warnings to some things that will break the API,src/Rose/AST/Defect.h src/Rose/AST/Utils.h,drop,src/Rose/AST not present in REX
b13b94175954f8def9b8350bc4171c7e24febaca,2024-02-10,(Engineering) Fixed a documentation typo in the ::Rose policy checker,scripts/policies/RoseNamespace.pl,drop,Reverted changes in scripts/policies/RoseNamespace.pl to remove drop-list reintroductions; no changes kept.
42fc5181d49462e528957436c62938b53437075c,2024-02-10,(Engineering) Fixed some header warnings from initial commit,src/3rdPartyLibraries/MSTL src/frontend/SageIII/advanced_preprocessing_hooks.h src/frontend/SageIII/attributeListMap.h src/midend/astDiagnostics/AstWarnings.C src/midend/astProcessing src/midend/astUtil/annotation src/midend/astUtil/astSupport src/midend/astUtil/symbolicVal src/util/graphs src/util/support/BitVectorRepr.h src/util/support/union_find.h,pick-partial,Header warning cleanups; skipped missing MSTL and SageIII header files
c4b9211d2dfac7d279bac9609371dc4102595f62,2024-02-10,(total order generation) added an option to specify output header file name,utilities/totalOrderOfHeaders,drop,Utilities dropped in REX
ba8bf31e3e0c5ffa433f0fa5d50fd6c3d6a69c6a,2024-02-10,(total order generation) a new option to include vxworks header,utilities/totalOrderOfHeaders,drop,Utilities dropped in REX
5e01902bbbe9418039e67636a3730590f61a002e,2024-02-10,(total order generation) fix help output to include new lines,utilities/totalOrderOfHeaders/totalOrderGeneration.cpp,drop,Utilities dropped in REX
95db8a3d5a4ba9823ca816a32538e2667eed83fb,2024-02-10,(Engineering) Removed more header warnings from initial commit,src/3rdPartyLibraries/MSTL src/frontend/SageIII/advanced_preprocessing_hooks.h src/frontend/SageIII/astVisualization/astGraph.C src/midend/astProcessing/AstRestructure.h src/midend/astRewriteMechanism/nodeCollectionTemplatesImpl.h src/midend/astUtil/annotation/TypeAnnotation.C src/midend/astUtil/annotation/TypeAnnotation.h src/midend/astUtil/astSupport/AnalysisInterface.h src/midend/programAnalysis/OAWrap/SAGE2OA.h src/midend/programAnalysis/OpenAnalysis/Interface/IRInterface.h src/midend/programAnalysis/OpenAnalysis/Utils/BaseGraph.h src/midend/programAnalysis/staticInterproceduralSlicing src/roseExtensions/roseHPCToolkit/src/xml2profir/factory.cc,pick-partial,Header warning cleanups in midend/OpenAnalysis; skipped missing MSTL/frontend/roseExtensions files
f3e4890d1fa0d324c54691e955647312be3ebb7d,2024-02-10,(Engineering) Removed header file warnings from Jeremiah W.,src/midend/astRewriteMechanism/ASTFragmentCollectorTraversalImpl.h src/midend/astRewriteMechanism/prefixGenerationImpl.h src/midend/programAnalysis/pointerAnal/PtrAnal.C src/midend/programAnalysis/pointerAnal/PtrAnal.h src/util/graphs/MultiGraphObserve.h,pick-partial,Pointer analysis + graph header warnings; skipped missing astRewriteMechanism files
01e5cd9a24645395e6552d4c96a53705af6b4419,2024-02-10,(Engineering) Fixed initial commit unused arg warnings,src/backend/unparser src/frontend/OpenFortranParser_SAGE_Connection src/frontend/SageIII/astFixup src/frontend/SageIII/astPostProcessing src/frontend/SageIII/astVisualization/wholeAST.C src/frontend/SageIII/attributeListMap.C src/frontend/SageIII/fixupCopy_references.C src/frontend/SageIII/fixupCopy_scopes.C src/frontend/SageIII/fixupCopy_symbols.C src/midend/astProcessing src/midend/astQuery src/midend/astRewriteMechanism src/midend/astUtil/astInterface/AstInterface.C src/midend/astUtil/astSupport src/midend/astUtil/symbolicVal/SymbolicOperator.C src/midend/programAnalysis/OAWrap/SAGE2OA.C src/midend/programAnalysis/OpenAnalysis/CFG/CFG.C src/midend/programAnalysis/staticInterproceduralSlicing src/midend/programAnalysis/valuePropagation/ValuePropagate.C src/midend/programTransformation/finiteDifferencing/patternRewrite.C src/midend/programTransformation/implicitCodeGeneration/defaultFunctionGenerator.C src/midend/programTransformation/partialRedundancyElimination src/roseExtensions/roseHPCToolkit/src/xml,pick-partial,Unused-arg cleanups across unparser/frontend/midend; skipped missing astVisualization/astRewriteMechanism/roseExtensions files; Reverted changes in src/backend/unparser/CxxCodeGeneration/unparseCxx_expressions.C; src/backend/unparser/unparser.C; src/midend/astUtil/astInterface/AstInterface.C to remove drop-list reintroductions.
0604d0d280cdda67287aac2f652520ced8d922d2,2024-02-10,(Engineering) Fixed nearly all unused-parameter for library initial commit,src/frontend/OpenFortranParser_SAGE_Connection/FortranParserActionROSE.C src/frontend/SageIII/astFileIO/StorageClassMemoryManagement.C,pick-partial,Unused-param cleanup in FortranParserActionROSE; StorageClassMemoryManagement.C missing
be4da0cee0a4dfebe207715944561a144baf61e1,2024-02-10,(Release) Incremented version to 0.11.145.29,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop,Version bump touching EDG/configure dropped
5b028cbd567459680d84c7efbba707a4bd6b41c0,2024-02-12,(Binary Analysis) MemoryMap::write fails gracefully for read-only buffers,src/Sawyer/AddressMap.h,drop,Sawyer/BinaryAnalysis dropped
4997d1e64183ebd46cb0614abb909146b678e8e7,2024-02-13,(Fortran Flang) Refactor to use flang visitor,src/3rdPartyLibraries/flang-parser/flang-external-builder-main.cc src/frontend/Experimental_Flang_ROSE_Connection src/frontend/SageIII/sage_support/sage_support.C,pick-partial,Flang visitor refactor; skipped Makefile.am inventory; Reverted changes in src/frontend/SageIII/sage_support/sage_support.C to remove drop-list reintroductions.
a642098607ee253ea296ddb4d7e5008ffbfb14a0,2024-02-13,(Release) Incremented version to 0.11.145.30,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop,Version bump touching EDG/configure dropped
c37d52fc2dfd52bd0f439370c157915eba976cdb,2024-02-13,(Support) Added StringUtility::jsonEscape,src/Rose/StringUtility/Escape.C src/Rose/StringUtility/Escape.h,pick-partial,Add StringUtility::jsonEscape; removed yamlEscape (YAML dropped in REX)
0a9e09e29ce3bf379c2ee8e1b77b917b685e2003,2024-02-13,(Rosebud) Added a new backend not using ROSETTA,Tuprules.tup docs/DoxygenSettings/InputFiles.cfg src/AstNodes/README.md src/Rosebud,drop,Rosebud Sawyer backend dropped (Sawyer not in REX)
6d144ff1a8ada4e12e565144520b1d2bd936dcc6,2024-02-13,(Sarif) AST nodes are generated by Rosebud; JSON output,CMakeLists.txt config/Makefile.for.ROSE.includes.and.libs config/support-rose.m4 src/AstNodes/Rose/Sarif src/CMakeLists.txt src/Makefile.am src/Rose/BinaryAnalysis/ModelChecker/BasicTypes.C src/Rose/Sarif src/Rose/Sarif.h src/Rosebud/generate src/generated,drop,Sarif Rosebud AST-node migration depends on dropped Sawyer backend
1540b26764f27f79de34b3013fef67473ac8582a,2024-02-13,(Sarif) Generated the Rose::Sarif AST node types with Rosebud,src/generated/Rose/Sarif,drop,Sarif generated nodes depend on dropped Rosebud migration
5f2209e6f762457eaa6d10a0114d6d468548e8fb,2024-02-13,(Binary Analysis) Regenerated AST node types after Rosebud work,src/ROSETTA/src/binaryInstruction.C,drop,Binary analysis regen dropped
e8837fe8ebecd43a59c232850a1f04ef32d2e5f1,2024-02-14,(Engineering) Cleanup of compiler warning messages,src/midend/BinaryAnalysis/ether.h src/midend/astMatching/matcherparser.C src/midend/astProcessing/AstDOTGeneration.C src/midend/astProcessing/AstDOTGenerationImpl.C src/midend/astRewriteMechanism/prefixGenerationImpl.h src/midend/astRewriteMechanism/rewriteDebuggingSupportTemplatesImpl.h src/midend/astUtil/annotation/AnnotExpr.C src/midend/astUtil/astInterface/AstInterface.C src/midend/astUtil/symbolicVal/SymbolicVal.C src/midend/programAnalysis/dominatorTreesAndDominanceFrontiers src/midend/programAnalysis/genericDataflow src/midend/programAnalysis/staticInterproceduralSlicing src/midend/programTransformation/loopProcessing src/midend/programTransformation/ompLowering/xomp.c,pick-partial,Warning cleanup in midend/programTransformation; skipped missing astRewriteMechanism/AstDOT/BinaryAnalysis files; Reverted changes in src/midend/astUtil/astInterface/AstInterface.C to remove drop-list reintroductions.
81f73d0a235edbd53c2afd3ac5aa7d0f4b97ea75,2024-02-14,(Release) Incremented version to 0.11.145.31,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop,Version bump touching EDG/configure dropped
548afd81aef20bb7e089226a69f2ef1d17effb0c,2024-02-14,(Sarif) Added missing virtual destructor to AST nodes,src/Rosebud/Ast.h src/Rosebud/SawyerGenerator.C,drop,Rosebud Sawyer backend dropped
96a6e189a5c2905c065cf86df3594a77160e86ed,2024-02-14,(Sarif) Regenerated AST node types,src/generated/Rose/Sarif,drop,Sarif generated nodes dropped with Rosebud migration
aba0e3bf21b1ceeb6932679e9549375fb302b54c,2024-02-14,(C++17) Fixed compiler errors in a tutorial and a tool,tools/BinaryAnalysis/SimpleArch.C tutorial/binaryAnalysis/disassembler.C,drop,Binary analysis tools/tutorials dropped
f79224a2120c94a3d9944c514df383e71d5d7962,2024-02-15,(CMake) Fix typo in file,cmake/ConfigureChecks.cmake,pick,Fix typo in ConfigureChecks.cmake
875921a55fc353ca7cc9874cc6a6baaefdd7401c,2024-02-15,(total order header) extended the insertion script to support undoing,utilities/totalOrderOfHeaders/insertHeader2AllCpp.sh utilities/totalOrderOfHeaders/reference/empty.cpp,drop,Utilities dropped in REX
5d1180362e692bbf6b619eb6234df44153145c48,2024-02-15,(Fortran Flang) Implemented more array functionality,src/frontend/Experimental_Flang_ROSE_Connection/sage-build.cc src/frontend/Experimental_Flang_ROSE_Connection/sage-build.h,pick,Flang array spec support in sage-build
0335c9537747e98103940f499630b44db05fdd14,2024-02-15,(Release) Incremented version to 0.11.145.32,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop,Version bump touching EDG/configure dropped
f4f43798b2b6c017b5db247df07412d559d06c13,2024-02-15,(Support) Upgraded to latest Sawyer release,src/Rose/BinaryAnalysis/Partitioner2/ControlFlowGraph.C src/Sawyer/Graph.h src/Sawyer/GraphAlgorithm.h src/Sawyer/IntervalSet.h src/Sawyer/Optional.h,drop,Sawyer/BinaryAnalysis dropped
c1c20d306aa4ffe6ed70f58d898bddad19be7932,2024-02-16,(Ada) added Has_Null_Exclusion support for An_Aceess_Type_Definition,src/frontend/Experimental_Ada_ROSE_Connection/parser/asis_adapter/source/asis_adapter-element-definitions.adb,drop,Ada support dropped in REX
a46fe8d7b660841b0bcc9252b6a9075f239de092,2024-02-16,(Apple) Added support for XCode/clang version 15.0.0,config/choose-backend-compiler.m4 config/compiler-defs.m4 config/determine-os.m4 config/getAppleCxxMajorVersionNumber.sh config/getAppleCxxMinorVersionNumber.sh config/getAppleCxxPatchVersionNumber.sh,drop,Autotools config inventory only
2d081784c3656da8beb178ef48972ae9379374c5,2024-02-16,(Release) Incremented version to 0.11.145.33,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop,Version bump touching EDG/configure dropped
e980917ec1a3e28183a76fc0db78677aa799fb5c,2024-02-16,(C++17) Fixed deprecated C++17 features,src/frontend/SageIII/astVisualization/astGraph.h src/frontend/SageIII/attributeListMap.h src/midend/astQuery src/midend/programAnalysis/CallGraphAnalysis/CallGraph.h src/midend/programAnalysis/VirtualFunctionAnalysis/PtrAliasAnalysis.C src/midend/programTransformation/implicitCodeGeneration/destructorCallAnnotator.C src/roseExtensions/roseHPCToolkit/include/rosehpct/xml-xercesc/xml.hh src/roseExtensions/roseHPCToolkit/include/rosehpct/xml/xml.hh src/roseExtensions/roseHPCToolkit/src/xml-xercesc/xml.hh,pick-partial,C++17 functor cleanup in astQuery/callgraph/etc; skipped missing astVisualization/roseHPCToolkit headers
b4fc17c6668f43ed823df8eea53fad71fc88895d,2024-02-17,(Release) Incremented version to 0.11.145.34,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop,Version bump touching EDG/configure dropped
0eb5d565e0085e1925650faeccb5549facadb9c5,2024-02-19,(C++17) Fixed deprecated C++17 features,src/Rose/BinaryAnalysis/Architecture src/Rose/BinaryAnalysis/ByteCode src/Rose/BinaryAnalysis/Disassembler/Jvm.C src/Rose/BinaryAnalysis/Partitioner2/Engine.h,drop,Binary analysis dropped
33d0cfb9979910e99d28c71f151edb1d49b71d46,2024-02-19,(Fortran Flang) Implemented AssumedImpliedSpec,src/frontend/Experimental_Flang_ROSE_Connection/sage-build.cc,pick,Flang AssumedImpliedSpec handling
26d8d326ae81777dc1ac9684f47ea6e76ada9ecf,2024-02-20,(Release) Incremented version to 0.11.145.35,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop,Version bump touching EDG/configure dropped
bae2e31c3c94e1c536d01467cd5f914f17e8b0b6,2024-02-21,(ProgramAnalysis) Revise mod-read analysis to support function definitions.,src/midend/astUtil/AstUtilInterface.C src/midend/astUtil/AstUtilInterface.h src/midend/astUtil/astInterface/AstInterface.C src/midend/astUtil/astInterface/AstInterface_ROSE.h src/midend/astUtil/astSupport/ProcessAstTree.C src/midend/astUtil/astSupport/ProcessAstTree.h src/midend/astUtil/astSupport/StmtInfoCollect.C src/midend/programAnalysis/CFG/CFG.h,pick,AstUtil mod-read analysis supports function definitions; Reverted changes in src/midend/astUtil/astInterface/AstInterface.C to remove drop-list reintroductions.
8763777620cfee0a3e7aaec28b1f711a443ef458,2024-02-21,(Documentation) Fixed #include paths for generated nodes,docs/DoxygenSettings/PathRewrites.cfg scripts/generate-api-documentation,pick,Doc Doxygen path rewrites + generate-api-documentation fix; removed BinaryAnalysis/Jovial include rewrite.
93f33352b44191cdd10b8955e3b739fb4ce18eba,2024-02-21,(FLIR) Improved documentation for FLIR tools,src/Rose/BinaryAnalysis/LibraryIdentification.C src/Rose/BinaryAnalysis/LibraryIdentification.h,drop,Binary analysis dropped
4ab1665130f74fec1d7596e9905bf78ede434d7c,2024-02-21,(Binary Analysis) Bug fixes; positional arg parsing,src/Rose/BinaryAnalysis/CodeInserter.C src/Rose/BinaryAnalysis/CodeInserter.h src/Rose/BinaryAnalysis/Partitioner2 src/frontend/BinaryFormats/ElfSegmentTable.C src/frontend/BinaryFormats/GenericHeader.C,drop,Binary analysis dropped
af87c74aa24d1625e63c509d8084225be22d425a,2024-02-21,(Binary Analysis) Fixed call to wrong function leading to infinite recursion,src/Rose/BinaryAnalysis/Architecture/Base.C,drop,Binary analysis dropped
87a1df5440baf903dc7b473eb5034b1b823d718f,2024-02-21,(Ada) not null support,src/ROSETTA/Grammar/LocatedNode.code src/ROSETTA/Grammar/Support.code src/ROSETTA/Grammar/Type.code src/ROSETTA/src/node.C src/backend/unparser/AdaCodeGeneration/unparseAda_statements.C src/backend/unparser/AdaCodeGeneration/unparseAda_types.C src/frontend/Experimental_Ada_ROSE_Connection/AdaExpression.C src/frontend/Experimental_Ada_ROSE_Connection/AdaMaker.C src/frontend/Experimental_Ada_ROSE_Connection/AdaMaker.h src/frontend/Experimental_Ada_ROSE_Connection/AdaStatement.C src/frontend/Experimental_Ada_ROSE_Connection/AdaType.C src/frontend/Experimental_Ada_ROSE_Connection/parser/a_nodes/include/a_nodes.h src/frontend/SageIII/sageInterface/sageBuilder.C src/frontend/SageIII/sageInterface/sageBuilder.h src/frontend/SageIII/sageInterface/sageGeneric.h src/frontend/SageIII/sageInterface/sageInterfaceAda.C src/frontend/SageIII/sageInterface/sageInterfaceAda.h,drop,Ada frontend dropped
26fd7ac7808551e5f979f401da7f5e7b6bd86215,2024-02-21,(Release) Incremented version to 0.11.145.36,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop,Version bump touching EDG/configure dropped
920d8d0a09d729b99fccbb16511625ef7b206855,2024-02-23,(Engineering) Fixed compiler warnings from Robb,src/Rosebud/CxxGenerator.C src/Rosebud/SawyerGenerator.C src/Rosebud/rosebud.C src/frontend/OpenFortranParser_SAGE_Connection/FortranParserActionROSE.C src/roseExtensions/roseHPCToolkit/src/xml/parser.cc,pick-partial,Applied OFP unused-param fix; roseExtensions dropped; Rosebud changes not present here
fdf425985c3df930ef85539f2d3494c94847caa8,2024-02-23,(Engineering) Regenerated Rose::Sarif AST nodes to fix warnings,src/generated/Rose/Sarif/Analysis.C src/generated/Rose/Sarif/CodeFlow.C src/generated/Rose/Sarif/Log.C src/generated/Rose/Sarif/Result.C src/generated/Rose/Sarif/ThreadFlow.C,drop,Generated Sarif dir not present in REX
096985760216ef409ede5e39dca2cb6aefd33e09,2024-02-23,(Fortran Flang) Implemented ExplicitShapeSpec,src/frontend/Experimental_Flang_ROSE_Connection/sage-build.cc,pick,Flang ExplicitShapeSpec array handling
9cc57dfbdbbb108a844721e152bbfff2944c2dc7,2024-02-23,(Ada) printout ASIS dot file path in debug mode,src/frontend/Experimental_Ada_ROSE_Connection/parser/asis_adapter/source/asis_adapter-tool.adb src/frontend/Experimental_Ada_ROSE_Connection/parser/support/source/dot.adb src/frontend/Experimental_Ada_ROSE_Connection/parser/support/source/dot.ads,drop,Ada frontend dropped
5307088a0f799c21f0f24ed522a9ff1a5444f8cd,2024-02-23,(Engineering) Fixed unused parameters blamed on Jeremiah from 2008,src/frontend/OpenFortranParser_SAGE_Connection/FortranParserActionROSE.C src/frontend/OpenFortranParser_SAGE_Connection/preproc-fortran-fixed.ll src/frontend/OpenFortranParser_SAGE_Connection/preproc-fortran.ll src/frontend/SageIII/rtiHelpers.C src/frontend/SageIII/virtualCFG/memberFunctions.C src/midend/astUtil/astInterface/AstInterface.C,pick-partial,Applied warning fixes; UPC portions not present in REX; Reverted changes in src/midend/astUtil/astInterface/AstInterface.C to remove drop-list reintroductions.
d1179fedd64c18e7f83fe0e4133b01e87b47ce7e,2024-02-23,(Engineering) Fixed unused parameters blamed on Stutsman from 2008,src/backend/unparser/PHPCodeGeneration/unparsePHP.C,drop,PHP frontend dropped
d02654da8f3d0ee4321b6bcbcf103df8fb1476d9,2024-02-23,(Engineering) Fixed unused parameters blamed on Andreas from 2013,src/frontend/SageIII/attachPreprocessingInfo.C,drop,attachPreprocessingInfoUsingWave not present in REX
b3483b396d7526ecd1946b162d52cac94dd8934a,2024-02-23,(Engineering) Fixed unused parameters blamed on Scott from 2011,src/backend/unparser/CxxCodeGeneration/unparseCxx_expressions.C src/frontend/OpenFortranParser_SAGE_Connection/FortranParserActionROSE.C,pick,Warning cleanups in unparser and OFP actions; Reverted changes in src/backend/unparser/CxxCodeGeneration/unparseCxx_expressions.C to remove drop-list reintroductions.
badacccecfd320d3b5cd8ba902e0512e9b9fc644,2024-02-23,(Binary Analysis) Add Partitioner function for binary entry points.,src/Rose/BinaryAnalysis/Partitioner2/Partitioner.C src/Rose/BinaryAnalysis/Partitioner2/Partitioner.h,drop,Binary analysis dropped
7a5e5dee44464148002d87fa49837eab6ae38147,2024-02-23,(Clang Warnings) Fixed a few warning messages,src/3rdPartyLibraries/MSTL/DOTGenerationImpl.h src/frontend/SageIII/astVisualization/wholeAST.C src/midend/programTransformation/astOutlining/NameGenerator.cc src/midend/programTransformation/astOutlining/NameGenerator.hh src/midend/programTransformation/partialRedundancyElimination/pre.C,pick-partial,Applied astOutlining + PRE warning fixes; astVisualization dropped; MSTL not present
862381e43a500ef2576078bee474944c61976ad6,2024-02-23,(Release) Incremented version to 0.11.145.37,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop,Version bump touching EDG/configure dropped
b43fb9376dc8abd4d74a59b85780ca707f60f5cd,2024-02-23,(Engineering) Fixed warning messages from clang,src/frontend/SageIII/astPostProcessing/fixupCxxSymbolTablesToSupportAliasingSymbols.C src/frontend/SageIII/astPostProcessing/fixupSymbolTables.C src/frontend/SageIII/astPostProcessing/fixupTemplateArguments.C src/frontend/SageIII/astPostProcessing/markTemplateInstantiationsForOutput.C src/frontend/SageIII/astPostProcessing/markTemplateSpecializationsForOutput.C,pick,Clang warning cleanup in astPostProcessing
d58d37831e9e91896e9f1bda84055b3f2c30bdd5,2024-02-23,(Engineering) Fixed warning messages from clang,src/frontend/SageIII/astTokenStream/tokenStreamMapping.C,pick-partial,Applied most astTokenStream warning cleanup; retained large dead-code #else block
94f9f24ccd67a08368062a62d320d85c8ec72b27,2024-02-23,(Engineering) Fixed warning messages from clang,src/frontend/SageIII/sageInterface/sageInterface.C,pick,SageInterface clang warning cleanup
06dd481ea7bf9a194aab5f0cb97c8c3d4c71c2c9,2024-02-24,(Engineering) Fixed warning messages from clang,src/frontend/SageIII/manglingSupport.C src/frontend/SageIII/rose_attributes_list.C src/frontend/SageIII/sage_support/sage_support.C,pick,SageIII warning cleanup (mangling/attributes/sage_support); Reverted changes in src/frontend/SageIII/sage_support/sage_support.C to remove drop-list reintroductions.
