Upstream commit,Upstream date,Summary,Paths touched,Decision,Apply method,REX commit,Validation,Notes
b1224e8d7bf171b1870861441d6d48931553db88,2026-02-05,(Release) Incremented version to 0.11.145.389,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
5b7af52f3eef42256094c1303ba6c8b01406225e,2026-02-05,(fix) fix dangling pointer in macro map,src/frontend/SageIII/sageInterface/sageInterface.C,pick-partial,manual-port,8b8926f5b19e8abc7e05cd72e1f4df4e09ccf857,cmake --build build -j32; ctest --test-dir build -R 'sageInterface|SageInterface|preprocessing|Preprocessing|token|Token|delete|Delete|testCopyAndDelete|removeStatementCommentRelocation|unparse_tokens|tokenStreamMapping' --output-on-failure -j32,ported macro-expansion map cleanup for statements scheduled by REX's deferred deleteAST queue; kept REX conservative protected-node deletion model
529e5da3f2110beba13853091e73b9bb83f27a20,2026-02-06,(Release) Incremented version to 0.11.145.390,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
edb5743aedf7d31b25c200208b22c352e64dbeb8,2026-02-06,(CICD) Add new develop test,.gitlab-ci.yml,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
5f18ce929a615a21d186f487a499b625578c5735,2026-02-07,(Release) Incremented version to 0.11.145.391,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
7a671dc4457b4fd925039eb10cd8ec4c65b23dc7,2026-02-09,(AstDiff) Add checking of declaration attributes such as extern.,src/midend/astUtil/astInterface/AstInterface.C,drop,not-applicable,,not run: AstIdentical/AstDiff implementation not present in REX,AstIdentical declaration attribute/initializer comparison has no retained REX target
944eb80cf9ce91d04d120e6a3e60c3a1138ee459,2026-02-10,(Release) Incremented version to 0.11.145.392,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
5a3cfa0bde050c93503b274b13d7428669690fc8,2026-02-10,(Binary Analysis) Conditionally disable features that use boost serialization,src/Rose/BinaryAnalysis/Partitioner2/Partitioner.C src/Rose/BinaryAnalysis/SerialIo.C src/Rose/BinaryAnalysis/SerialIo.h tools/BinaryAnalysis/batSupport.C,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
3c1404d282d6d642fc00ac06cc820d463f240301,2026-02-10,(Binary Analysis) Use ifdef instead of if,src/Rose/BinaryAnalysis/Partitioner2/Partitioner.C src/Rose/BinaryAnalysis/SerialIo.h,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
b69de3ef6340058abd51ef76658c4b3d0796d224,2026-02-11,(Binary Analysis),src/Rose/BinaryAnalysis/SerialIo.C,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
c1c1470972069d43c92e2699cd9e6b2a86963022,2026-02-13,(Warnings) Fix a large assortment of warnings from several developers,src/Rose/BinaryAnalysis/ModelChecker/PartitionerModel.C src/frontend/OpenFortranParser_SAGE_Connection/fortran_error_handler.C src/frontend/SageIII/advanced_preprocessing_hooks.h src/frontend/SageIII/ompAstConstruction.cpp src/frontend/SageIII/sageInterface/sageInterface.C src/midend/astRewriteMechanism/ASTFragmentCollectorTraversalImpl.h src/midend/astRewriteMechanism/rewriteSynthesizedAttribute.C src/midend/astUtil/astInterface/AstInterface.C src/midend/astUtil/dependenceTracking/dependence_table.C src/midend/programTransformation/astOutlining/ASTtools.cc src/midend/programTransformation/loopProcessing/computation/LoopTree.C src/midend/programTransformation/loopProcessing/computation/LoopTreeDummyNode.C src/midend/programTransformation/loopProcessing/depInfo/DepInfo.C src/midend/programTransformation/loopProcessing/slicing/CompSlice.h,pick-partial,manual-port,347a1cda78aab301ad2f95ec1228a83ee3d744fb,cmake --build build -j32; ctest --test-dir build -R 'astInterface|dependence|Dependence|DataFlow|ReadWrite|readWrite|loop|Loop|outline|Outlin|astOutlining|ASTtools' --output-on-failure -j32,"ported retained warning fixes in AstInterface, outlining, and loop-processing; dropped absent Binary/OFP/AST rewrite paths and skipped OpenMP hunks superseded by REX ompparser implementation"
2a41c429370ca96e4a3252c5ab035c70b3a767fa,2026-02-13,(Release) Incremented version to 0.11.145.393,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
1ce482d9bbed84b8e56b9bb2172b0b4db08ef105,2026-02-16,(fix) mangle external for function names operatorX,tools/CodeThorn/src/CallGraphAnalysis.C tools/CodeThorn/src/CallGraphAnalysis.h tools/CodeThorn/src/CallGraphExport.C tools/CodeThorn/src/ExternalMangling.C tools/CodeThorn/src/RoseCompatibility.C tools/CodeThorn/src/RoseCompatibility.h,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
44c7476a06b90729de35feaf05cfea0568532202,2026-02-18,(AstDiff) Fix comparison of declaration attributes for variables and functions.,src/midend/astUtil/astInterface/AstInterface.C src/midend/astUtil/astInterface/AstInterface.h,drop,not-applicable,,not run: AstIdentical/AstDiff implementation not present in REX,AstIdentical/AstTypeIdentical declaration attribute comparison APIs are not retained in REX
2e72b82fd1486b6a3d09e6159a82ccea55f998fd,2026-02-18,(Warnings) Fix a large assortment of warnings from several developers,src/midend/astProcessing/SgGraphTemplate.h src/midend/astProcessing/graphProcessing.h src/midend/programAnalysis/ReadWriteSetAnalysis/TestabilityGrader.C src/midend/programTransformation/loopProcessing/computation/LoopTree.C src/midend/programTransformation/loopProcessing/slicing/CompSlice.h tools/BinaryAnalysis/batSupport.C tools/ReadWriteSetGeneration/TestabilityGraderMain.C tools/globalVariablesInLambdas/globalVariablesInLambdas.C tools/moveDeclarationToInnermostScope.C,pick-partial,manual-port,87c01f4ceb170800366754730f84c19db3f994ce,cmake --build build -j32; ctest --test-dir build -R 'astProcessing|processnew|sourcePTP|globalVariablesInLambdas|moveDeclarationToInnermostScope|loop|Loop|slice|Slicing|DataFlow|ReadWrite|readWrite' --output-on-failure -j32,ported retained graph pragma guards and tool/loop warning fixes; dropped removed ReadWriteSetGeneration and BinaryAnalysis paths
8cb5d680f956899c74e2d4a16a68a9602a8c144c,2026-02-18,(Release) Incremented version to 0.11.145.394,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
d2e5d485ab677683bef74d5e475a71d514c0e9b1,2026-02-19,(AstDiff) Fix comparison of variable references.,src/midend/astUtil/astInterface/AstInterface.C,drop,not-applicable,,not run: AstIdentical/AstDiff implementation not present in REX,variable-reference comparison change only affects removed AstIdentical/AstDiff logic
a128be7e695b6c583797633aeda7e3a36d1dbf3a,2026-02-21,(Release) Incremented version to 0.11.145.395,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
50cd47b13dcdf1bd32a4e46d0931e3f22a4fbdda,2026-02-23,(AstDiff) Fix comparison of declaration access modifiers.,src/midend/astUtil/astInterface/AstInterface.C,drop,not-applicable,,not run: AstIdentical/AstDiff implementation not present in REX,declaration access modifier comparison change only affects removed AstIdentical/AstDiff logic
3de967733ee1b933dc3573838813c2b286c6a9a7,2026-02-25,(Engineering) Fix compiler warnings issued by (Apple) clang,src/ROSETTA/Grammar/Statement.code,drop-superseded,not-applicable,,not run: no retained semantic change identified; current branch already builds after prior ROSETTA warning cleanup,"Upstream commit is broad Apple-clang warning/style churn in generated Statement.code (dead comments, pointer spelling, NULL/nullptr/assertion macro substitutions) across grammar sections including dropped language nodes. REX already carries targeted retained ROSETTA warning cleanup and no useful retained semantic delta was identified."
42476bc39aa85a1c5ae36b729f28a4eca14b5e4f,2026-02-25,(Release) Incremented version to 0.11.145.396,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
46d267453c6e2ce96f791ac91cdc0ca5ea46d400,2026-02-26,(Engineering) Fix compiler errors issued by (Apple) clang,src/Rose/Affirm.h src/Sawyer/Database.h src/Sawyer/Sawyer.h tools/BinaryAnalysis/fake-vxworks-server.C,drop,not-applicable,,not run: upstream paths are absent or dropped in REX,"No retained REX content: src/Rose/Affirm.h is absent, Sawyer is dropped, and BinaryAnalysis tools are dropped. Do not restore abandoned support libraries for an Apple-clang fix."
eba09da2bc79fa923327a5bd96ca65efb0100846,2026-02-26,(Release) Incremented version to 0.11.145.397,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
edd0009e959c2d519aabe4b893846792f3ec080b,2026-02-27,(Warnings) Fix warnings from several developers,src/AstNodes/BinaryAnalysis/SgAsmCilInstruction.C src/Rose/BinaryAnalysis/Partitioner2/EngineJvm.C src/Rose/BinaryAnalysis/Partitioner2/ModulesJvm.C src/backend/unparser/CxxCodeGeneration/unparseAggrInit.C src/backend/unparser/CxxCodeGeneration/unparseVarDeclStmt.C src/frontend/BinaryFormats/JvmFileHeader.C src/frontend/SageIII/astTokenStream/tokenStreamMapping.C src/frontend/SageIII/attachPreprocessingInfoTraversal.C src/midend/astQuery/astQuery.C src/midend/programTransformation/implicitCodeGeneration/defaultFunctionGenerator.C tools/CodeThorn/src/CallGraphAnalysis.C tools/checkFortranInterfaces/checkFortranInterfaces.C,pick-partial,manual-partial,9bfe260e14c745ac8583c600c1fcf72477b7e860,cmake --build build -j32; ctest --test-dir build -R 'unparse|token|Token|preprocessing|Preprocessing|testQuery|astQuery|implicitCode|defaultFunction|fortran|f90|f03|checkFortranInterfaces' --output-on-failure -j32 (6272/6272 passed),"Ported retained warning fixes in C/C++ unparser, token mapping, preprocessing attachment, astQuery, implicit default-function generation, and checkFortranInterfaces. Dropped BinaryAnalysis, JVM, and CodeThorn hunks absent from REX."
92cb74dc6b3198d9db8fdb111959ac95fea1969c,2026-02-27,(Release) Incremented version to 0.11.145.398,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
48450b9dc3595e8b584bf4863e0151ba86c3968e,2026-02-28,(ROSE) Updated Dwarf Support,src/AstNodes/BinaryAnalysis/SgAsmDwarfCompilationUnit.h src/AstNodes/BinaryAnalysis/SgAsmDwarfConstruct.h src/AstNodes/BinaryAnalysis/SgAsmDwarfEnumerationType.h src/AstNodes/BinaryAnalysis/SgAsmDwarfMember.h src/AstNodes/BinaryAnalysis/SgAsmDwarfSubprogram.h src/AstNodes/BinaryAnalysis/SgAsmDwarfVariable.h src/ROSETTA/src/binaryInstruction.C src/Rose/BinaryAnalysis/Dwarf/Dwarf.C src/backend/unparser/JovialCodeGeneration/unparseJovial_types.C src/frontend/SageIII/dwarfSupport.C src/frontend/SageIII/sage_support/sage_support.C src/generated/BinaryAnalysis/SgAsmDwarfCompilationUnit.C src/generated/BinaryAnalysis/SgAsmDwarfConstruct.C src/generated/BinaryAnalysis/SgAsmDwarfEnumerationType.C src/generated/BinaryAnalysis/SgAsmDwarfMember.C src/generated/BinaryAnalysis/SgAsmDwarfSubprogram.C src/generated/BinaryAnalysis/SgAsmDwarfVariable.C src/generated/Rose/Sarif/Analysis.C src/generated/Rose/Sarif/Analysis.h src/generated/Rose/Sarif/Artifact.C src/generated/Rose/Sarif/Artifact.h src/generated/Rose/Sarif/CMakeLists.txt src/generated/Rose/Sarif/CodeFlow.C src/generated/Rose/Sarif/CodeFlow.h src/generated/Rose/Sarif/Location.C src/generated/Rose/Sarif/Location.h src/generated/Rose/Sarif/Log.C src/generated/Rose/Sarif/Log.h src/generated/Rose/Sarif/Makefile.am src/generated/Rose/Sarif/Node.C src/generated/Rose/Sarif/Node.h src/generated/Rose/Sarif/NodeDeclarations.h src/generated/Rose/Sarif/Result.C src/generated/Rose/Sarif/Result.h src/generated/Rose/Sarif/Rule.C src/generated/Rose/Sarif/Rule.h src/generated/Rose/Sarif/ThreadFlow.C src/generated/Rose/Sarif/ThreadFlow.h src/generated/Rose/Sarif/ThreadFlowLocation.C src/generated/Rose/Sarif/ThreadFlowLocation.h src/roseSupport/utility_functions.C,pick-partial,manual-partial,fc001f829c34d806804d2202d50ee9c67a24dd97,cmake --build build -j32; ctest --test-dir build -R 'testFloat128|sage_support' --output-on-failure -j32,Ported retained SgFloat128Val constant-folded string support in sage_support. Dropped BinaryAnalysis/Dwarf/Jovial/SARIF/generated binary hunks not retained by REX.
718fd87a16c71dde51f62afa8f1e643627263023,2026-02-28,(Release) Incremented version to 0.11.145.399,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
014500e3837bb2f65a29d06e4bf77be38575aec9,2026-03-03,(Engineering) Fix compiler errors issued by (Apple) clang,src/Sawyer/Database.h,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
3f461204404a98eef6db713b43017eaac26b10a1,2026-03-03,(AstDiff) Fix comparison of For Loops and anonymous variables.,src/midend/astUtil/astInterface/AstInterface.C src/midend/astUtil/astInterface/AstInterface.h,drop,not-applicable,,not run: AstDiff comparison API targeted by upstream is not retained in REX,"Dropped AstDiff-specific comparison changes. REX does not retain upstream AstIdentical/AstTypeIdentical API surface, the anonymous-variable hunk is a fragile generated-name string heuristic, and changing IsLoop to return the for-test statement would affect existing REX loop-analysis consumers that use the expression condition."
6edf65d30e1db198c3792727438c011d243200b4,2026-03-03,(Release) Incremented version to 0.11.145.400,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
3db5da003f2d92b4ae6dd1149b6585aecf6e9823,2026-03-03,(AstDiff) Fix comparison of typedefs of anonymous enum types.,src/midend/astUtil/astInterface/AstInterface.C,drop,not-applicable,,not run (AstIdentical-only drop),"Dropped AstDiff-only anonymous enum comparison. REX does not retain AstIdentical/AstTypeIdentical, and the upstream anonymous_0x name check is a string heuristic not suitable for REX core semantics."
448d170955d537639e97d1024b664cc700f8fceb,2026-03-04,(CommandLine) Fix bug where could not compile C file with C++ standard,src/frontend/SageIII/sage_support/cmdline.C,pick,manual,27f47d15ee46436fb9b58d08ece683f74f50489a,cmake --build build -j32; ctest --test-dir build -R '^lang_flag_test$' --output-on-failure -j32; build/bin/identityTranslator -rose:skipfinalCompileStep -rose:verbose 0 -std=c++11 -c tests/nonsmoke/functional/CompileTests/C_tests/math.c,Ported command-line language selection fix so explicit C++ standards on C-suffix files set C++ language flags for the Clang frontend.
27337d4cfa474415d937f101f508b155900206f3,2026-03-04,(Release) Incremented version to 0.11.145.401,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
d0b125c368d9d69186e51fed36abdf92bc995c40,2026-03-04,(Engineering) Fix compiler warnings issued by (Apple) clang,src/frontend/SageIII/sageInterface/sageInterface.C,drop-superseded,not-applicable,,not run (warning/style cleanup superseded by current REX sageInterface.C),"Apple-clang warning cleanup is against an older sageInterface.C layout. Current REX has divergent Clang-era includes, declaration-set handling, and namespace-scope logic; no unique semantic fix remains beyond dead-code/comment/assertion-style churn."
142eb550ec8daf449afdb1393c9dd21f20d823b5,2026-03-05,(Engineering) Fix compiler warnings issued by (Apple) clang,src/midend/astUtil/astInterface/AstInterface.C,drop,not-applicable,,not run (AstDiff-only warning cleanup),Unused lambda-capture warning cleanup is only inside AstIdentical/AstTypeIdentical helpers that REX does not retain.
2866f1775498ecfab66011e682ff27df61be89a7,2026-03-05,(Engineering) Fix compiler warnings issued by (Apple) clang,src/ROSETTA/Grammar/LocatedNode.code,drop-superseded,not-applicable,,not run (ROSETTA warning/style cleanup),Large LocatedNode.code Apple-clang warning cleanup is comment/dead-code/null/assertion/style churn in ROSETTA templates. Current REX builds cleanly and no retained semantic fix was identified; avoid broad generated-template churn.
e453bc559752fbe9cc93eae9f316ede6480609ae,2026-03-05,(Release) Incremented version to 0.11.145.402,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
5ce887e7c7f60a80c2ed1af77a2664c95a4f3efb,2026-03-05,(Engineering) Fix compiler warnings issued by (Apple) clang,tools/classMemberVariablesInLambdas/classMemberVariablesInLambdas.C,pick,manual,ad261b0eb598d1649229a6108d287ebccc40af27,cmake --build build -j32,"Ported classMemberVariablesInLambdas warning cleanup: struct traversal scaffolding, nullptr/assertion cleanup, and explicit unused synthesized traversal parameters."
0bc419e441ad8cd45a642acb73fa27127635ec61,2026-03-07,(Engineering) Fix compiler warnings issued by (Apple) clang,tools/BinaryAnalysis/bat-scan-magic.C,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
652839f2192a73807792c56f0098cab5a0b71b55,2026-03-07,(Engineering) Fix compiler warnings issued by (Apple) clang,src/frontend/SageIII/astFileIO/StorageClassMemoryManagement.C,drop,not-applicable,,not run (astFileIO storage class source absent in REX),"Only touches src/frontend/SageIII/astFileIO/StorageClassMemoryManagement.C, which is absent from REX. Do not restore removed AST file-IO storage-class implementation for warning cleanup."
6a71970f2cb009292564d7887a1613d9a62d45af,2026-03-07,(Release) Incremented version to 0.11.145.403,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
34e2f717285789a9ec0b5a0a90fea5350e3d18d4,2026-03-09,(CodeThorn) store callee function refs on CallEdge,tools/CodeThorn/src/CallGraphAnalysis.C tools/CodeThorn/src/CallGraphAnalysis.h,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
b2ca9ee968860169669b99fb03c88920f616e430,2026-03-10,(Release) Incremented version to 0.11.145.404,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
cfa05afc76f62dafb02042ed857e8f08a63f368e,2026-03-11,(Engineering) Fix JvmParseUnparse build when binary analysis is disabled,exampleTranslators/defaultTranslator/Makefile.am,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
2c9c87ef1e17b4dfe4f4b4f92cbb4577491054bb,2026-03-11,(BinaryAnalysis) Add filtering interface to StringFinder,src/Rose/BinaryAnalysis/String.C src/Rose/BinaryAnalysis/String.h,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
ba923d88d211953cd3c6155e718e639cd3fba982,2026-03-11,(Escapade) Add StringFilter interface to StringFinder,src/Rose/BinaryAnalysis/String.C src/Rose/BinaryAnalysis/String.h,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
d10fcb5adc3e05074773d59aac9b7bf33ec48f72,2026-03-11,(Escapade) Implement case-sensitive regex filters,src/Rose/BinaryAnalysis/String.C src/Rose/BinaryAnalysis/String.h,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
07006ff8287536558692c1b7448abc634afc0737,2026-03-11,(Release) Incremented version to 0.11.145.405,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
4606473ff9f47f67320e391be6ab2ff73a517dec,2026-03-12,(Bug Fix) Fix --version output to use stdout instead of stderr,src/Sawyer/CommandLine.C,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
25b0e74d5a12f51745f970ea943d5aed417619a2,2026-03-12,(Bug Fix) Fix jsonEscape to properly handle Unicode characters,src/Rose/StringUtility/Escape.C,pick,manual,8f54914f00b015384576adeb5cc5b8517a6abe31,cmake --build build --target testStringUtility -j32; ctest --test-dir build -R '^smoke_testStringUtility$' --output-on-failure -j32; cmake --build build -j32,Ported JSON escaping fix so UTF-8 bytes are preserved and JSON control characters use RFC 8259-compatible escapes; added focused smoke coverage.
3b659e4e06d0cdb7657a6a8eeb58a0e061ba4007,2026-03-12,(Engineering) Fix compiler warnings issued by (Apple) clang,src/ROSETTA/Grammar/Statement.code,drop,not-applied,N/A,not run (no code change),"Dead-code/comment cleanup in Statement.code only; no retained semantic fix after ignore-whitespace audit, so avoid broad ROSETTA churn."
68239f108324f4b317df5571611230af5fa5a747,2026-03-12,(Engineering) Fix compiler warnings issued by (Apple) clang,src/frontend/ECJ_ROSE_Connection/dummy_openJavaParser_main.C,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
1a1a1d522fc80b3779646f122136903bec0e6aea,2026-03-12,(Release) Incremented version to 0.11.145.406,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
9c0b301d2d39a6bda2a5b1991970f5e377000786,2026-03-13,(Engineering) Fix compiler warnings issued by (Apple) clang,src/3rdPartyLibraries/MSTL/DOTGraphInterface.h,drop,not-applied,N/A,python3 .codex/skills/rose-upstream-sync/scripts/classify_commit.py 9c0b301d2d39a6bda2a5b1991970f5e377000786,MSTL is absent from REX and now guarded as an abandoned upstream component; this warning-only DOTGraphInterface cleanup has no retained target.
3537ddfbd643fb9bf0cbfb5c61e2c9bd2d496ca2,2026-03-13,(Release) Incremented version to 0.11.145.407,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
0f91c2724de3fa35b3412afd89f3c06df12b917d,2026-03-14,(Documentation) Update rose-tests README workflow,,already-present,empty-upstream-commit,N/A,git diff-tree --stat --root -m 0f91c2724de3fa35b3412afd89f3c06df12b917d,"Upstream commit has no changed paths/diff entries, so there is no REX content to apply."
5d895c608a9dc39345aa37ae7c2cd49a6e86c0fa,2026-03-14,(Engineering) Fix compiler warnings issued by (Apple) clang,src/backend/unparser/AdaCodeGeneration/unparseAda_expressions.C src/backend/unparser/AdaCodeGeneration/unparseAda_statements.C,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
07e5782717a574f1e1263f11e698be09307f347a,2026-03-14,(Release) Incremented version to 0.11.145.408,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
38f1f92d6842531800fce46c83ea64cd15c7140b,2026-03-16,(ByteCode JVM) Reduce number of Sage nodes used for attributes.,src/frontend/BinaryFormats/JvmAttribute.C,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
14a9c78bd9223d5ca1321cd05c74002c052ad244,2026-03-17,(Release) Incremented version to 0.11.145.409,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
4d1289b29333c300d6a4eb6a628ae4088ada5161,2026-03-22,(API) Add new FlowGraphInterface.h and SawyerGraphConnection.h into src/Rose.,src/Makefile.am src/Rose/CMakeLists.txt src/Rose/FlowGraphInterface.h src/Rose/Makefile.am src/Rose/SawyerGraphConnection.h,drop,not-applied,N/A,python3 .codex/skills/rose-upstream-sync/scripts/classify_commit.py 4d1289b29333c300d6a4eb6a628ae4088ada5161; rg -n 'FlowGraphInterface|SawyerGraphConnection' . --glob '!build/**',"Dropped new graph API headers: SawyerGraphConnection depends on dropped Sawyer, and standalone FlowGraphInterface has no retained REX consumers or behavior fix to port."
e1d0876ca569764b2cb81b1fbcbaab69b530169b,2026-03-22,(Release) Incremented version to 0.11.145.410,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
e8adee2df176e4e363721a12d7b03b86be6484f1,2026-03-23,(CMake) add ROSE_ALLOC_MEMSET,CMakeLists.txt,pick,manual,b3d46647d1a29d19cc0aff9704656f071be65de4,cmake --build build -j32; grep -R --line-number -- '-DROSE_ALLOC_MEMSET=0' build/compile_commands.json | head,Ported CMake ROSE_ALLOC_MEMSET control for existing ROSETTA memory-pool memset hooks; adapted to REX with cache-value validation and add_compile_definitions.
95bc7de0dba340b3448ec82825265cb0248f42d5,2026-03-23,(CMake) Move ROSE_ALLOC_MEMSET,CMakeLists.txt cmake/rosePublicConfig.h.in.cmake,pick,manual,5dcf158dc8b1ac175759140aeb421cdd455e0380,cmake --build build -j32; rg -n '^#define ROSE_ALLOC_MEMSET 0$' build/rose_config.h build/rosePublicConfig.h; ! grep -q -- '-DROSE_ALLOC_MEMSET=0' build/compile_commands.json,"Moved ROSE_ALLOC_MEMSET from command-line compile definitions into REX config header generation, adapting upstream public-config placement to REX's rose_config.h.in.cmake/publicConfiguration.pl flow."
234a1e7945f71c4e6f04d3586e38ffbe3af2a671,2026-03-24,(Release) Incremented version to 0.11.145.411,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
955931bf7b1625bc152627f48ae57aac522dce05,2026-03-24,(AstUtil) Fix missing memory references in write-set summaries.,src/midend/astUtil/AstUtilInterface.C src/midend/astUtil/astInterface/AstInterface.C src/midend/astUtil/astInterface/AstInterface.h,pick,cherry-pick-adapted,07b6d5faea5ee36305666a2550320db58e1095a5,cmake --build build -j32; ctest --test-dir build -R 'collectFunctionSideEffect|performAliasAnalysis|programAnalysis|astInterface' --output-on-failure -j32,"Ported write-set memory-reference fix to REX-formatted AstInterface: comma and conditional expressions can return concrete subrefs, and side-effect collection records each referenced store."
683c2f600f04f9e010c4941dd3182aa56cf8c015,2026-03-24,(AstDiff) Fix comparison of names to allow overwrite.,src/midend/astUtil/AstUtilInterface.C src/midend/astUtil/astInterface/AstInterface.C src/midend/astUtil/astInterface/AstInterface.h,pick-partial,manual,7578c574378122aeff05b37a7596f3e7e5642270,cmake --build build -j32; ctest --test-dir build -R 'collectFunctionSideEffect|performAliasAnalysis|programAnalysis|astInterface' --output-on-failure -j32,Ported retained side-effect behavior: free also records modify. Dropped the upstream AstDiff/name-string callback API rewrite and enum string-signature hunk because REX lacks that AstIdentical interface and should not import fragile string override semantics.
735ef0db2623d1d7f58af697800257c065187e75,2026-03-26,(Release) Incremented version to 0.11.145.412,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
9c9a0b482ba777bb02d81c04d9f6d09fbb9762fb,2026-03-31,(ByteCode JVM) Implement instruction semantics for JVM,src/Makefile.am src/Rose/BinaryAnalysis/Architecture/Jvm.C src/Rose/BinaryAnalysis/Architecture/Jvm.h src/Rose/BinaryAnalysis/InstructionEnumsJvm.h src/Rose/BinaryAnalysis/InstructionSemantics.h src/Rose/BinaryAnalysis/InstructionSemantics/CMakeLists.txt src/Rose/BinaryAnalysis/InstructionSemantics/DispatcherJvm.C src/Rose/BinaryAnalysis/InstructionSemantics/DispatcherJvm.h src/Rose/Makefile.am,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
